actorId,filmTitle,filmYear,genres,averageRating,numVotes
nm0000011,Paramount on Parade,1930,"Comedy,Music",5.8,322
nm0579663,Mon gosse de père,1930,Drama,,
nm0001948,Passion Flower,1930,Drama,6.0,381
nm0002001,Playboy of Paris,1930,"Comedy,Musical,Romance",6.1,89
nm0260020,Playboy of Paris,1930,"Comedy,Musical,Romance",6.1,89
nm0606431,Playing Around,1930,"Comedy,Drama,Music",6.0,266
nm0001677,Queen High,1930,"Comedy,Musical",6.2,122
nm0172903,Raffles,1930,"Adventure,Crime,Drama",6.4,955
nm0062828,Renegades,1930,"Action,Adventure,Romance",5.3,294
nm0000795,The Return of Dr. Fu Manchu,1930,"Adventure,Mystery,Romance",5.9,218
nm0154183,The Right to Love,1930,Drama,6.0,44
nm0510134,The Right to Love,1930,Drama,6.0,44
nm0001948,River's End,1930,Western,5.7,150
nm0949835,Road to Paradise,1930,Drama,5.7,191
nm0862546,The Rogue Song,1930,"Musical,Romance",5.6,182
nm0001256,Romance,1930,"Drama,Romance",5.8,896
nm0832011,Romance,1930,"Drama,Romance",5.8,896
nm0545298,The Royal Family of Broadway,1930,Comedy,6.2,368
nm0000802,The Runaway Bride,1930,"Crime,Drama,Romance",5.0,280
nm0001479,Safety in Numbers,1930,"Comedy,Music,Romance",5.5,136
nm0642988,The Sap from Syracuse,1930,"Comedy,Musical,Romance",6.0,97
nm0001677,The Sap from Syracuse,1930,"Comedy,Musical,Romance",6.0,97
nm0154183,Sarah and Son,1930,"Drama,Romance",5.4,265
nm0545298,Sarah and Son,1930,"Drama,Romance",5.4,265
nm0187981,Scotland Yard,1930,"Crime,Drama,Romance",5.3,74
nm0001948,The Sea Bat,1930,"Action,Romance,Thriller",5.3,276
nm0642988,Sea Legs,1930,"Comedy,Romance",5.9,31
nm0606431,Second Choice,1930,"Drama,Romance",,
nm0949835,The Second Floor Mystery,1930,"Comedy,Mystery",6.5,52
nm0522281,See America Thirst,1930,"Action,Comedy,Crime",5.6,18
nm0771584,Die Sehnsucht jeder Frau,1930,Drama,6.8,41
nm0000011,Seven Days Leave,1930,"Adventure,Drama,War",6.5,130
nm0606431,She Couldn't Say No,1930,"Action,Drama,Music",5.9,25
nm0173993,She Got What She Wanted,1930,Comedy,6.7,19
nm0870543,She Got What She Wanted,1930,Comedy,6.7,19
nm0228715,Shooting Straight,1930,"Crime,Drama",6.1,81
nm0000795,The Silver Horde,1930,"Drama,Romance",5.8,508
nm0000802,The Sin Ship,1931,Drama,5.5,278
nm0001651,Sin Takes a Holiday,1930,"Comedy,Romance",6.1,593
nm0000010,Sinners' Holiday,1930,"Adventure,Crime,Romance",6.3,653
nm0000951,Sinners' Holiday,1930,"Adventure,Crime,Romance",6.3,653
nm0599910,The Sins of the Children,1930,"Drama,Romance",6.2,264
nm0642988,The Social Lion,1930,"Comedy,Romance,Sport",5.6,42
nm0001932,Son of the Gods,1930,"Drama,Romance",5.9,198
nm0000011,The Spoilers,1930,"Action,Western",7.1,84
nm0173993,The Spoilers,1930,"Action,Western",7.1,84
nm0000795,Street of Chance,1930,"Crime,Drama,Romance",6.6,273
nm0832011,Strictly Unconventional,1930,Drama,5.1,131
nm0062828,Such Men Are Dangerous,1930,Drama,6.0,91
nm0682074,Sweet Kitty Bellairs,1930,"Musical,Romance",5.1,141
nm0000059,The Temporary Widow,1930,"Comedy,Mystery",7.0,35
nm0000011,The Texan,1930,Western,6.5,189
nm0522281,They Learned About Women,1930,"Drama,Musical",5.3,251
nm0001651,This Mad World,1930,"Drama,Romance,War",6.5,20
