tconst,averageRating,numVotes
tt0024501,6.0,188
tt0024506,5.8,434
tt0024507,6.7,698
tt0024516,5.4,1243
tt0024517,6.0,15
tt0024518,6.6,97
tt0024535,7.0,10
tt0024537,6.5,342
tt0024538,6.4,861
tt0024539,6.5,664
tt0024546,6.8,39
tt0024548,6.3,6162
tt0024549,6.0,499
tt0024553,5.9,157
tt0024554,5.3,969
tt0024558,6.4,23
tt0024560,6.9,529
tt0024564,6.0,75
tt0024570,6.5,172
tt0024590,6.3,298
tt0024592,5.4,437
tt0024598,6.8,787
tt0024599,6.1,21
tt0024609,6.1,241
tt0024610,6.7,881
tt0024616,5.8,297
tt0024617,7.1,1544
tt0024620,6.9,469
tt0024622,5.9,64
tt0024628,4.8,126
tt0024630,6.8,35
tt0024631,6.2,728
tt0024633,6.7,394
tt0024640,6.7,54
tt0024647,5.8,582
tt0024654,6.8,24
tt0024656,6.4,209
tt0024663,5.4,448
tt0024664,6.4,444
tt0024675,5.9,1294
tt0024679,5.7,310
tt0024680,6.5,138
tt0024683,6.2,76
tt0024685,6.7,705
tt0024701,6.9,681
tt0024704,6.8,499
tt0024723,6.7,19
tt0024727,5.7,2587
tt0024742,6.5,231
tt0024747,5.8,1493
tt0024755,7.1,59
tt0024757,6.1,298
tt0024759,4.8,15
tt0024763,6.8,979
tt0024767,6.2,21
tt0024769,6.5,333
tt0024770,6.0,402
tt0024771,6.1,241
tt0024781,6.4,266
tt0024785,7.3,1153
tt0024786,6.7,495
tt0024787,4.8,534
tt0024789,7.1,42
tt0024800,6.8,472
tt0024805,5.1,1008
tt0024808,5.7,143
tt0024816,6.1,415
tt0024817,7.3,36
tt0024819,6.3,468
tt0024822,6.0,111
tt0024831,7.0,1276
tt0024851,6.0,292
tt0024854,6.4,966
tt0024855,6.1,316
tt0024862,6.5,64
tt0024865,7.0,1915
tt0024868,5.9,296
tt0024874,5.9,43
tt0024890,6.2,1003
tt0024892,6.3,217
tt0024897,6.1,228
tt0024898,5.7,17
tt0024902,5.3,1595
tt0024903,6.6,334
tt0024906,6.2,1145
tt0024910,5.8,145
tt0024912,5.6,22
tt0024914,7.2,2285
tt0024915,6.1,683
tt0024916,6.7,1041
tt0024917,5.9,105
tt0024932,6.9,393
tt0024933,6.1,329
tt0024939,5.8,188
tt0024949,6.5,13
tt0024951,6.4,710
tt0024952,6.2,132
tt0024956,6.2,78
tt0024958,6.9,854
tt0024960,6.4,440
tt0024961,6.7,1256
tt0024962,6.3,651
tt0024963,6.3,967
tt0024965,6.0,324
tt0024968,6.9,2008
tt0024979,5.8,93
tt0024989,6.6,1103
tt0024991,6.8,3931
tt0024993,6.2,105
tt0024998,6.9,51
tt0025004,7.4,2852
tt0025005,7.5,29
tt0025009,7.1,530
tt0025010,6.3,57
tt0025011,5.7,174
tt0025015,6.4,89
tt0025028,7.1,2121
tt0025031,6.0,313
tt0025035,6.7,97
tt0025037,7.0,2151
tt0025040,6.5,165
tt0025064,6.8,227
tt0025076,6.5,365
tt0025079,5.8,38
tt0025080,7.2,9
tt0025091,6.8,1616
tt0025101,6.6,1745
tt0025117,6.4,557
tt0025129,6.6,1655
tt0025132,6.4,1418
tt0025133,6.2,116
tt0025134,6.2,636
tt0025150,7.8,15
tt0025151,6.5,212
tt0025152,6.1,65
tt0025161,6.6,1039
tt0025163,6.5,546
tt0025164,7.4,7895
tt0025165,6.3,162
tt0025170,5.0,161
tt0025173,6.6,1234
tt0025174,5.6,37
tt0025178,6.3,57
tt0025181,6.0,54
tt0025192,6.1,104
tt0025196,5.6,113
tt0025203,5.5,23
tt0025217,5.9,77
tt0025223,6.3,157
tt0025226,6.3,643
tt0025228,7.1,788
tt0025232,6.3,12
tt0025234,7.0,35
tt0025238,6.3,994
tt0025239,6.9,126
tt0025250,6.9,551
tt0025251,6.9,820
tt0025256,6.0,173
tt0025259,5.9,39
tt0025272,6.6,1170
tt0025273,6.1,1061
tt0025281,7.4,15
tt0025283,6.0,42
tt0025289,6.1,66
tt0025290,6.4,406
tt0025296,5.0,34
tt0025301,7.5,4816
tt0025314,6.2,113
tt0025316,8.1,102980
tt0025326,7.0,86
tt0025327,5.3,54
tt0025330,6.6,1913
tt0025333,6.1,449
tt0025340,6.1,383
tt0025342,6.2,129
tt0025346,6.0,463
tt0025347,6.7,532
tt0025351,6.0,734
tt0025363,6.3,416
tt0025365,6.3,43
tt0025366,6.5,521
tt0025368,7.1,96
tt0025373,5.1,1012
tt0025378,6.5,68
tt0025380,7.0,15
tt0025381,6.0,110
tt0025384,5.0,146
tt0025393,6.6,280
tt0025397,6.9,1183
tt0025408,7.2,543
tt0025409,6.2,783
tt0025410,7.0,1298
tt0025416,6.5,26
tt0025418,6.4,163
tt0025422,6.1,497
tt0025423,6.8,3340
tt0025440,5.6,1226
tt0025453,6.9,177
tt0025455,5.1,1145
tt0025459,6.4,704
tt0025464,7.1,4212
tt0025468,6.4,42
tt0025472,5.7,361
tt0025479,6.9,258
tt0025481,6.2,98
tt0025486,6.9,39
tt0025489,6.3,668
tt0025492,5.8,195
tt0025493,7.2,2943
tt0025499,5.5,988
tt0025500,6.4,298
tt0025501,6.7,87
tt0025510,6.3,252
tt0025516,6.1,111
tt0025520,6.5,153
tt0025529,6.5,843
tt0025532,6.7,742
tt0025536,5.9,1008
tt0025546,6.9,457
tt0025571,6.4,27
tt0025579,6.3,216
tt0025580,6.5,1023
tt0025586,7.0,7418
tt0025596,6.3,174
tt0025599,6.4,25
tt0025600,6.8,385
tt0025601,5.7,610
tt0025607,6.0,1430
tt0025617,6.5,1542
tt0025619,6.0,374
tt0025629,5.9,134
tt0025630,7.1,22
tt0025631,4.6,13
tt0025639,6.5,109
tt0025666,6.6,37
tt0025681,6.3,679
tt0025699,5.4,1071
tt0025702,5.7,64
tt0025710,5.5,302
tt0025714,6.2,25
tt0025718,6.3,921
tt0025720,6.3,633
tt0025731,6.8,715
tt0025740,6.8,1450
tt0025746,7.5,6577
tt0025748,7.4,4322
tt0025755,6.1,633
tt0025766,7.3,49
tt0025773,6.0,45
tt0025774,6.0,173
