tconst,primaryTitle,startYear,genres
tt0021988,I Take This Woman,1931,"Drama,Romance"
tt0021992,Illicit,1931,"Drama,Romance"
tt0021993,In the Employ of the Secret Service,1931,Drama
tt0022000,Indiscreet,1931,"Comedy,Drama,Musical"
tt0022001,Inspiration,1931,"Drama,Romance"
tt0022002,Iron Man,1931,Drama
tt0022006,It Pays to Advertise,1931,Comedy
tt0022007,It's a Wise Child,1931,Comedy
tt0022015,June Moon,1931,Comedy
tt0022026,Kiki,1931,Musical
tt0022029,Kiss Me Again,1931,"Musical,Romance"
tt0022042,Ladies of the Big House,1931,"Crime,Drama,Romance"
tt0022043,Ladies' Man,1931,Drama
tt0022046,The Lady Refuses,1931,"Drama,Romance"
tt0022054,The Last Flight,1931,Drama
tt0022056,Laugh and Get Rich,1931,Comedy
tt0022059,Laughing Sinners,1931,"Drama,Romance"
tt0022066,Left Over Ladies,1931,"Drama,Romance"
tt0022074,The Smiling Lieutenant,1931,"Comedy,Musical,Romance"
tt0022093,Love in High Gear,1932,"Comedy,Romance"
tt0022106,The Magnificent Lie,1931,Drama
tt0022111,The Maltese Falcon,1931,"Crime,Drama,Film-Noir"
tt0022114,The Man Who Came Back,1931,Drama
tt0022117,The Man in Possession,1931,Comedy
tt0022119,Man of the World,1931,"Drama,Romance"
tt0022123,Many a Slip,1931,Comedy
tt0022134,Arizona,1931,"Drama,Romance"
tt0022135,Men Call It Love,1931,"Drama,Romance"
tt0022137,Men in Her Life,1931,"Crime,Drama,Romance"
tt0022139,Men with Wings,1938,"Action,Drama,War"
tt0022142,Merely Mary Ann,1931,"Comedy,Drama,Romance"
tt0022151,The Millionaire,1931,"Comedy,Drama"
tt0022153,The Miracle Woman,1931,"Drama,Romance"
tt0022161,Morals for Women,1931,Drama
tt0022177,My Past,1931,"Drama,Romance"
tt0022178,My Sin,1931,Drama
tt0022180,Suicide Fleet,1931,"Comedy,Drama,War"
tt0022189,Nachtkolonne,1932,
tt0022193,Neck and Neck,1931,
tt0022197,Never the Twain Shall Meet,1931,Drama
tt0022201,Newly Rich,1931,Comedy
tt0022205,The Night Angel,1931,"Crime,Drama,Romance"
tt0022208,Night Nurse,1931,"Comedy,Crime,Drama"
tt0022211,No Limit,1931,"Comedy,Drama,Musical"
tt0022226,Once a Lady,1931,Drama
tt0022236,Other Men's Women,1931,"Drama,Romance"
tt0022241,Over the Hill,1931,"Drama,Romance"
tt0022242,The Pagan Lady,1931,"Adventure,Drama,Romance"
tt0022262,Personal Maid,1931,"Drama,Romance"
tt0022263,Le petit café,1931,"Comedy,Musical,Romance"
tt0022264,The Phantom of Paris,1931,"Drama,Thriller"
tt0022268,Platinum Blonde,1931,"Comedy,Romance"
tt0022273,Politics,1931,"Comedy,Romance"
tt0022276,Possessed,1931,"Drama,Romance"
tt0022277,Potiphar's Wife,1931,"Drama,Romance"
tt0022279,Private Lives,1931,"Comedy,Drama,Romance"
tt0022283,The Prodigal,1931,"Musical,Romance"
tt0022285,The Public Defender,1931,"Crime,Drama,Mystery"
tt0022286,The Public Enemy,1931,"Crime,Drama"
tt0022290,Quick Millions,1931,"Crime,Drama"
tt0022293,The Range Feud,1931,"Mystery,Western"
tt0022297,The Reckless Hour,1931,"Drama,Romance"
tt0022303,Reducing,1931,"Comedy,Drama"
tt0022308,Scarlet Dawn,1932,"Drama,Romance"
tt0022309,Rich Man's Folly,1931,Drama
tt0022317,The Right of Way,1930,"Drama,Romance"
tt0022321,The Road to Singapore,1931,"Drama,Romance"
tt0022326,The Royal Bed,1931,Comedy
tt0022331,The Ruling Voice,1931,"Crime,Drama,Romance"
tt0022343,Scandal Sheet,1931,"Crime,Drama"
tt0022356,Secret Service,1931,"Drama,History,Romance"
tt0022357,The Secret 6,1931,"Crime,Drama"
tt0022358,The Secret Witness,1931,"Drama,Mystery"
tt0022359,Secrets of a Secretary,1931,Drama
tt0022370,The She-Wolf,1931,Drama
tt0022376,Shipmates,1931,"Comedy,Drama,Romance"
tt0022384,Silence,1931,"Crime,Drama"
tt0022386,The Sin of Madelon Claudet,1931,Drama
tt0022392,6 Cylinder Love,1931,Comedy
tt0022395,The Skin Game,1931,Drama
tt0022397,Skippy,1931,"Comedy,Drama,Family"
tt0022403,Smart Money,1931,"Crime,Drama"
tt0022404,Smart Woman,1931,"Comedy,Drama,Romance"
tt0022407,Sob Sister,1931,Romance
tt0022412,Son of India,1931,"Drama,Romance"
tt0022414,Sooky,1931,"Adventure,Drama,Family"
tt0022418,The Speckled Band,1931,"Crime,Drama,Mystery"
tt0022422,The Spirit of Notre Dame,1931,"Drama,Sport"
tt0022425,Sporting Blood,1931,"Drama,Romance,Sport"
tt0022428,The Squaw Man,1931,Western
tt0022430,The Star Witness,1931,Drama
tt0022433,Stolen Heaven,1931,"Drama,Romance"
tt0022435,Strangers May Kiss,1931,"Drama,Romance"
tt0022436,Street Scene,1931,"Drama,Romance"
tt0022437,Strictly Dishonorable,1931,"Comedy,Drama,Romance"
tt0022439,The Stronger Sex,1932,Drama
tt0022448,The Sun Never Sets,1939,Drama
tt0022452,Surrender,1931,Drama
tt0022453,Susan Lenox (Her Fall and Rise),1931,"Drama,Romance"
tt0022454,Svengali,1931,"Drama,Horror,Romance"
tt0022456,Sweepstakes,1931,"Comedy,Sport"
tt0022459,A Tailor Made Man,1931,Comedy
tt0022469,Ten Cents a Dance,1931,"Crime,Drama,Romance"
tt0022476,Their Mad Moment,1931,"Comedy,Drama"
tt0022478,This Modern Age,1931,"Comedy,Drama,Romance"
tt0022479,Three Girls Lost,1931,Drama
tt0022480,Not Exactly Gentlemen,1931,Western
tt0022481,Three Who Loved,1931,Drama
tt0022484,The Tip-Off,1931,"Comedy,Crime"
tt0022487,Tomorrow and Tomorrow,1932,Drama
tt0022489,Tonight or Never,1931,"Comedy,Romance"
tt0022493,Touchdown!,1931,"Drama,Sport"
tt0022495,Trader Horn,1931,"Action,Adventure,Drama"
tt0022520,Unfaithful,1931,"Drama,Romance"
tt0022523,The Unholy Garden,1931,"Crime,Drama,Romance"
tt0022525,Up Pops the Devil,1931,Comedy
tt0022531,The Vanishing Legion,1931,"Adventure,Western"
tt0022536,The Vice Squad,1931,"Crime,Drama"
tt0022539,Virtuous Husband,1931,"Comedy,Romance"
tt0022543,Voruntersuchung,1931,Drama
tt0022545,The W Plan,1930,"Action,Adventure,War"
tt0022551,Way Back Home,1931,"Comedy,Drama,Music"
tt0022558,White Shoulders,1931,"Drama,Romance,Thriller"
tt0022559,Wicked,1931,Drama
