tconst,nconst
tt0023825,nm0867144
tt0023838,nm0000891
tt0023838,nm0178114
tt0023842,nm0001479
tt0023846,nm0000951
tt0023846,nm0001677
tt0023848,nm0103567
tt0023848,nm0604656
tt0023848,nm0178114
tt0023856,nm0000012
tt0023856,nm0832011
tt0023860,nm0510134
tt0023872,nm0001366
tt0023872,nm0510134
tt0023873,nm0350324
tt0023873,nm0232196
tt0023876,nm0944087
tt0023878,nm0001932
tt0023880,nm0001677
tt0023886,nm0943956
tt0023887,nm0007216
tt0023890,nm0237597
tt0023890,nm0000859
tt0023890,nm0094135
tt0023891,nm0000031
tt0023891,nm0000992
tt0023893,nm0579663
tt0023896,nm0870543
tt0023896,nm0580916
tt0023896,nm0322299
tt0023900,nm0001078
tt0023900,nm0642988
tt0023906,nm0000951
tt0023906,nm0579663
tt0023906,nm0000802
tt0023913,nm0237571
tt0023918,nm0260020
tt0023926,nm0001076
tt0023926,nm0000022
tt0023926,nm0867144
tt0023926,nm0733480
tt0023928,nm0062828
tt0023932,nm0228715
tt0023932,nm0580916
tt0023940,nm0545298
tt0023940,nm0000011
tt0023940,nm0394244
tt0023941,nm0000897
tt0023941,nm0173993
tt0023945,nm0949835
tt0023946,nm0572142
tt0023948,nm0237597
tt0023948,nm0000891
tt0023957,nm0000817
tt0023957,nm0001677
tt0023960,nm0362267
tt0023960,nm0001635
tt0023973,nm0545298
tt0023973,nm0000026
tt0023973,nm0642988
tt0023973,nm0001479
tt0023974,nm0350324
tt0023984,nm0307326
tt0023986,nm0949835
tt0023992,nm0001766
tt0023992,nm0000897
tt0023993,nm0000012
tt0023998,nm0000075
tt0023998,nm0260020
tt0024008,nm0154183
tt0024024,nm0000897
tt0024025,nm0001677
tt0024028,nm0000010
tt0024028,nm0000951
tt0024034,nm0062828
tt0024041,nm0001479
tt0024041,nm0642988
tt0024044,nm0404158
tt0024044,nm0867144
tt0024046,nm0362267
tt0024048,nm0000026
tt0024052,nm0000795
tt0024053,nm0060168
tt0024065,nm0007223
tt0024065,nm0001784
tt0024067,nm0001078
tt0024067,nm0260020
tt0024069,nm0000951
tt0024069,nm0533956
tt0024071,nm0606431
tt0024073,nm0350324
tt0024073,nm0000024
tt0024075,nm0000951
tt0024078,nm0510134
tt0024078,nm0949835
tt0024079,nm0228715
tt0024079,nm0646829
tt0024083,nm0604656
tt0024090,nm0000010
tt0024092,nm0000951
tt0024093,nm0445523
tt0024095,nm0260020
tt0024097,nm0307326
tt0024097,nm0000897
tt0024100,nm0599910
tt0024100,nm0404158
